spent,date,shown,link
Spent ₹0 – ₹250,From 13 Apr - 5 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16528120850453364737?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 21 Apr - 15 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16509830474525310977?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹1.5K – ₹2K,From 23 Apr - 23 May 2024 (30 days),Shown 8K – 9K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16502639668479655937?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹500 – ₹750,From 14 Apr - 30 May 2024 (35 days),Shown 4K – 5K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16466829674274619393?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 4 Jun 2024 (35 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16453934601904062465?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 23 Apr - 4 May 2024 (12 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16404580823468081153?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹750 – ₹1K,From 14 Apr - 3 Jun 2024 (27 days),Shown 6K – 7K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16341626086196510721?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 23 Apr - 4 May 2024 (12 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16312925534176673793?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 19 May 2024 (27 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16306951887502966785?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 13 Apr - 4 May 2024 (22 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16184123244540854273?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
Spent ₹0 – ₹250,From 14 Apr - 5 May 2024 (20 days),Shown 0 – 1K times,https://adstransparency.google.com/advertiser/AR01871034538939908097/creative/CR16179725198029750273?region=20471&start-date=2024-03-31&end-date=2024-04-30&topic=political
